Año,Meses,Departamento,Provincia,Distrito,Conglomerado,Estratos,Geografico,Visitas,TEM,TNR_Historica_Cong,TNR_Historica_Distrito,TNR_Historica_Departamento,N_HOGAR,TotalPersHogar,TotalMuj12_49,TotalMen_12,TotalMen_6,TotalMen_5,TotalMen_3,DuracionPromedio,TNR,TNR_ALTA,Altitud,Latitud,Longitud
2022,abr,Cajamarca,San Miguel,Tongod,3367,Rural,Sierra Norte,1.0,0.0,2.08333333333333,2.08333333333333,2.08333333333333,15,61,12.0,23.0,9.0,8.0,4.0,23.8,0.0,0,3346.8799999999987,-6.816727222222222,-78.82271055555556
2022,abr,Cusco,Anta,Anta,438,Medio Bajo,Sierra Sur,1.0,10.0,6.07638032421853,6.07638032421853,6.07638032421853,10,32,9.0,8.0,7.0,6.0,4.0,16.2,0.0,0,3368.05,-13.463785166666664,-72.14754466666668
2022,abr,Cusco,Canchis,Sicuani,444,Bajo,Sierra Sur,1.4,10.0,2.22222222222222,2.22222222222222,2.22222222222222,10,38,10.0,16.0,9.0,8.0,3.0,20.0,0.0,0,3561.38,-14.254261,-71.22095083333335
2022,abr,Cusco,Cusco,Cusco,3397,Medio,Sierra Sur,1.0,0.0,0.0,0.0,0.0,10,30,6.0,7.0,5.0,3.0,0.0,14.2,0.0,0,3488.6700000000005,-13.513087166666669,-71.97015116666668
2022,abr,Cusco,Cusco,San Sebastian,420,Medio Alto,Sierra Sur,1.2,10.0,1.66666666666667,1.66666666666667,1.66666666666667,10,28,5.0,7.0,5.0,5.0,3.0,17.1,0.0,0,3294.5899999999992,-13.532527666666669,-71.93143333333333
2022,abr,Cusco,Cusco,Santiago,424,Medio Bajo,Sierra Sur,1.4,0.0,1.25,1.25,1.25,10,31,10.0,9.0,6.0,5.0,3.0,22.7,10.0,1,3416.25,-13.546639166666669,-71.97988966666665
2022,abr,Cusco,Espinar,Espinar,3400,Bajo,Sierra Sur,1.7,0.0,0.0,0.0,0.0,10,31,9.0,10.0,6.0,6.0,3.0,19.3,10.0,1,3908.54,-14.799235166666667,-71.41746250000001
2022,abr,Cusco,La Convencion,Inkawasi,464,Rural,Selva,1.0,6.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,15,47,8.0,14.0,6.0,6.0,5.0,22.5,0.0,0,2374.713333333333,-13.322461888888888,-73.28260066666667
2022,abr,Cusco,La Convencion,Santa Ana,448,Rural,Selva,1.0,20.0,1.42857142857143,1.42857142857143,1.42857142857143,15,42,15.0,14.0,8.0,5.0,3.0,15.1,0.0,0,1071.04,-12.859918222222223,-72.70472633333334
2022,abr,Cusco,Paruro,Paruro,3406,Rural,Sierra Sur,1.13,6.66666666666667,2.0,2.0,2.0,15,37,8.0,9.0,5.0,5.0,1.0,18.3,0.0,0,3112.1599999999994,-13.803373555555554,-71.84460044444444
2022,abr,Cusco,Urubamba,Maras,451,Rural,Sierra Sur,1.13,6.66666666666667,2.5,2.5,2.5,15,45,10.0,11.0,6.0,6.0,4.0,17.8,0.0,0,3571.34,-13.383546888888889,-72.11723777777776
2022,abr,Huancavelica,Angaraes,Lircay,3416,Medio Bajo,Sierra Centro,1.0,10.0,8.54700854700855,8.54700854700855,8.54700854700855,10,37,11.0,16.0,9.0,8.0,5.0,15.4,0.0,0,3308.3900000000003,-12.997968333333333,-74.72058183333334
2022,abr,Huancavelica,Castrovirreyna,Castrovirreyna,507,Rural,Sierra Centro,1.2,20.0,5.55555555555556,5.55555555555556,5.55555555555556,15,43,15.0,13.0,8.0,8.0,2.0,18.0,0.0,0,3958.6066666666666,-13.285273222222225,-75.32003633333332
2022,abr,Huancavelica,Churcampa,San Pedro De Coris,3418,Rural,Sierra Centro,1.2,0.0,5.6980056980057,5.6980056980057,5.6980056980057,15,53,15.0,22.0,14.0,11.0,6.0,22.0,6.66666666666667,1,2217.32,-12.597629333333336,-74.36835222222221
2022,abr,Huancavelica,Huancavelica,Ascension,472,Medio Alto,Sierra Centro,1.6,10.0,0.0,0.0,0.0,10,33,7.0,13.0,6.0,6.0,2.0,16.6,11.1111111111111,1,3701.39,-12.783791833333336,-74.98158366666667
2022,abr,Huancavelica,Huancavelica,Yauli,481,Bajo,Sierra Centro,1.2,0.0,5.83638583638584,5.83638583638584,5.83638583638584,10,30,9.0,8.0,7.0,5.0,5.0,19.1,20.0,1,4025.9500000000007,-12.759422,-74.80540316666665
2022,abr,Huancavelica,Huancavelica,Yauli,501,Rural,Sierra Centro,1.13,6.66666666666667,20.0,20.0,7.60683760683761,15,54,17.0,15.0,11.0,10.0,8.0,19.4,7.14285714285714,1,3622.5733333333337,-12.766177444444445,-74.87126900000001
2022,abr,Huancavelica,Tayacaja,Acostambo,485,Rural,Sierra Centro,1.0,0.0,6.07638032421853,6.07638032421853,6.07638032421853,15,45,11.0,12.0,7.0,7.0,2.0,19.3,0.0,0,3628.0733333333337,-12.352274111111113,-75.06079811111111
2022,abr,Huancavelica,Tayacaja,Huaribamba,3417,Rural,Sierra Centro,1.27,13.3333333333333,3.7037037037037,3.7037037037037,3.7037037037037,15,30,8.0,8.0,6.0,3.0,2.0,17.9,23.0769230769231,1,2939.4666666666662,-12.268873000000005,-74.85380422222221
2022,abr,Huancavelica,Tayacaja,Quichuas,515,Rural,Sierra Centro,1.0,0.0,6.83760683760684,6.83760683760684,6.83760683760684,15,51,14.0,16.0,10.0,10.0,7.0,21.1,0.0,0,3452.093333333333,-12.450556333333337,-74.77234533333333
2022,abr,Huánuco,Huanuco,Amarilis,529,Medio Alto,Selva,1.0,0.0,6.07638032421853,6.07638032421853,6.07638032421853,10,34,10.0,9.0,6.0,5.0,3.0,16.0,0.0,0,1938.26,-9.942192,-76.2405855
2022,abr,Huánuco,Huanuco,Amarilis,530,Medio,Selva,1.0,0.0,0.0,0.0,0.0,10,33,11.0,12.0,6.0,6.0,1.0,19.9,0.0,0,1950.63,-9.944468166666669,-76.2391485
2022,abr,Huánuco,Leoncio Prado,Daniel Alomia Robles,554,Rural,Selva,1.0,13.3333333333333,0.0,0.0,0.0,15,52,11.0,18.0,10.0,8.0,5.0,23.0,0.0,0,688.3933333333333,-9.145658666666666,-75.94275599999999
2022,abr,Huánuco,Leoncio Prado,Hermilio Valdizan,3439,Rural,Selva,1.13,20.0,0.0,0.0,0.0,15,38,11.0,11.0,8.0,5.0,4.0,17.3,0.0,0,1051.4066666666663,-9.171653777777776,-75.8731371111111
2022,abr,Huánuco,Leoncio Prado,Luyando,545,Bajo,Selva,1.5,10.0,0.0,0.0,0.0,10,33,10.0,9.0,6.0,6.0,3.0,17.0,0.0,0,637.97,-9.2225355,-75.98651299999999
2022,abr,Huánuco,Leoncio Prado,Luyando,552,Rural,Selva,1.0,0.0,0.0,0.0,0.0,18,58,17.0,16.0,12.0,10.0,6.0,21.1,0.0,0,631.3000000000002,-9.176876666666669,-75.9905284375
2022,abr,Huánuco,Leoncio Prado,Luyando,3436,Medio Bajo,Selva,1.0,10.0,0.0,0.0,0.0,10,32,12.0,7.0,7.0,7.0,6.0,18.2,0.0,0,646.3499999999999,-9.248072000000002,-75.99109600000001
